Distance_(pixels),Gray_Value
0,841.000
1,856.946
2,870.821
3,722.815
4,590.845
5,566.837
6,607.739
7,889.451
8,1306.204
9,1456.219
10,1404.135
11,1460.037
12,1451.944
13,1320.386
14,1345.589
15,1514.966
16,1557.519
17,1387.907
18,1171.565
19,955.221
20,822.505
21,1026.231
22,1348.379
23,1513.171
24,1440.351
25,1193.646
26,1003.789
27,932.249
28,963.048
29,981.770
30,985.883
31,1021.534
32,1148.004
33,1225.478
34,1421.265
35,1701.831
36,1527.134
37,1198.883
38,1395.367
39,1788.209
40,1780.229
41,1538.666
42,1261.916
43,1069.350
44,1095.097
45,1171.489
46,1169.554
47,1188.518
48,1196.146
49,1336.161
50,1605.083
51,1642.423
52,1434.269
53,1285.956
54,1273.885
55,1489.843
56,1480.203
57,1210.830
58,1115.090
59,1245.367
60,1217.638
61,1171.810
62,1171.796
63,1336.422
64,1686.481
65,1933.944
66,1943.263
67,1550.948
68,1139.284
69,1138.822
70,1221.732
71,1165.857
72,1286.608
73,1450.137
74,1471.579
75,1405.962
76,1419.054
77,1482.755
78,1588.109
79,1731.538
80,1923.185
81,1986.825
82,1896.488
83,1924.174
84,2105.208
85,2290.990
86,2280.771
87,1945.565
88,1644.289
89,1428.305
90,1422.179
91,1356.377
92,1373.552
93,1484.700
94,1335.682
95,1177.638
96,1134.099
97,1133.991
98,1157.989
99,1240.558
100,1365.048
101,1513.706
102,1539.061
103,1461.890
104,1335.027
105,1194.507
106,1169.631
107,1259.459
108,1277.780
109,1212.369
110,1166.187
111,1150.258
112,1141.783
113,1178.861
114,1226.294
115,1360.658
116,1687.606
117,1919.023
118,1634.337
119,1457.406
120,1337.720
121,1234.753
122,1160.511
123,1170.267
124,1186.006
125,1209.378
126,1198.803
127,1252.053
128,1324.700
129,1348.107
130,1390.145
131,1472.974
132,1504.990
133,1427.851
134,1423.220
135,1496.111
136,1536.402
137,1408.260
138,1269.015
139,1215.572
140,1141.549
141,1138.999
142,1188.314
143,1191.176
144,1232.652
145,1346.757
146,1409.654
147,1520.865
148,1559.616
149,1540.323
150,1688.640
151,1856.015
152,1987.421
153,2196.401
154,2437.668
155,2435.113
156,2297.251
157,2393.545
158,2570.614
159,2151.363
160,1621.288
161,1401.065
162,1328.144
163,1255.132
164,1218.050
165,1246.260
166,1332.954
167,1358.218
168,1468.285
169,1599.460
170,1594.233
171,1482.066
172,1316.109
173,1218.835
174,1205.420
175,1232.070
176,1364.887
177,1648.949
178,1968.705
179,2139.702
180,1757.342
181,1139.974
182,917.394
183,917.767
184,1136.997
185,1544.260
186,1606.078
187,1408.482
188,1393.454
189,1366.242
190,1372.036
191,1383.536
192,1360.060
193,1383.583
194,1443.182
195,1360.408
196,1446.696
197,1637.266
198,1707.125
199,1763.075
200,1935.159
201,2030.255
202,2108.206
203,2363.907
204,2464.405
205,2467.632
206,2587.191
207,2490.000
208,1971.777
209,1622.720
210,1730.254
211,1815.739
212,1834.452
213,1806.829
214,1535.158
215,1298.115
216,1303.954
217,1396.547
218,1466.316
219,1497.655
220,1440.905
221,1444.010
222,1397.948
223,1339.577
224,1459.868
225,1537.569
226,1538.105
227,1572.025
228,1563.086
229,1607.505
230,1638.058
231,1719.699
232,1895.268
233,2084.397
234,2277.449
235,2550.932
236,2714.930
237,2818.574
238,2936.679
239,2905.616
240,2671.201
241,2486.200
242,2385.420
243,2292.918
244,2403.307
245,2501.211
246,2506.354
247,2444.349
248,2359.857
249,2196.313
250,2367.318
251,2394.782
252,1875.006
253,1557.681
254,1580.559
255,1656.404
256,1639.067
257,1613.021
258,1575.442
259,1501.259
260,1409.716
261,1427.713
262,1719.338
263,2347.134
264,2987.523
265,2649.231
266,1968.504
267,2029.675
268,2148.973
269,1680.970
270,1358.861
271,1404.340
272,1445.732
273,1447.411
274,1426.824
275,1465.463
276,1511.641
277,1632.502
278,1876.465
279,2066.415
280,2150.901
281,2166.522
282,1941.465
283,1640.177
284,1469.057
285,1354.559
286,1372.655
287,1448.465
288,1486.391
289,1486.833
290,1602.934
291,1702.631
292,1632.310
293,1545.035
