x;y;x-displacement;y-displacement;Correlation value;Peak ratio;Uncertainty Vx;Uncertainty Vy
-29.0706;12.5128;0.0245964;0.00205462;0.988549;2.54503;0.000930627;0.000890352
-28.7518;12.5128;0.0246854;0.00198722;0.987022;2.77053;0.000929342;0.000882828
-28.4331;12.5128;0.0247977;0.00190376;0.985702;3.05598;0.000964068;0.000881874
-28.1143;12.5128;0.0249526;0.00179288;0.981955;2.81007;0.00110775;0.000947703
-27.7955;12.5128;0.0251415;0.00167288;0.976227;100;0.00132802;0.00102897
-29.3893;12.194;0.0243801;0.00220231;0.985671;2.69708;0.000983342;0.000845546
-29.0706;12.194;0.0245751;0.00210213;0.986818;3.02256;0.000919792;0.000915705
-28.7518;12.194;0.0246818;0.00200829;0.986854;100;0.000884872;0.000918051
-28.4331;12.194;0.0248118;0.00190082;0.98513;100;0.000923475;0.000951767
-28.1143;12.194;0.0249828;0.00177376;0.981833;100;0.0010476;0.00105175
-27.7955;12.194;0.0251911;0.00164727;0.977918;2.91267;0.00118464;0.00120114
-27.4768;12.194;0.0256077;0.00131159;0.977647;2.68695;0.00123585;0.00133191
-27.158;12.194;0.0260242;0.00120284;0.977021;100;0.00122175;0.00130367
-26.8393;12.194;0.0264578;0.00116978;0.978643;100;0.00114298;0.00122667
-29.7081;11.8752;0.0242381;0.00255138;0.984376;2.95915;0.00118285;0.000836458
-29.3893;11.8752;0.0243874;0.00232312;0.985175;2.59066;0.00106609;0.000840332
-29.0706;11.8752;0.0245681;0.00218612;0.98623;100;0.000961696;0.00088076
-28.7518;11.8752;0.024701;0.0020678;0.98668;100;0.000874819;0.000891044
-28.4331;11.8752;0.0248548;0.0019421;0.985788;100;0.000895459;0.000951693
-28.1143;11.8752;0.0250442;0.00180964;0.982592;100;0.000984103;0.00107615
-27.7955;11.8752;0.0252708;0.00169107;0.979934;100;0.0010505;0.00126496
-27.4768;11.8752;0.0256653;0.00147821;0.980294;100;0.0010683;0.00142453
-27.158;11.8752;0.0260842;0.00141759;0.980876;2.67497;0.00107992;0.00140166
-26.8393;11.8752;0.0265292;0.0014452;0.980988;2.45291;0.0010437;0.00126479
-26.5205;11.8752;0.0270966;0.00192312;0.984157;100;0.000956493;0.00118094
-26.2017;11.8752;0.0274725;0.00242058;0.985668;100;0.000971635;0.0011594
-25.883;11.8752;0.0277487;0.003071;0.982909;100;0.00135473;0.00117484
-29.7081;11.5565;0.0242337;0.00268219;0.977448;2.3323;0.0011787;0.000925609
-29.3893;11.5565;0.0243895;0.00246476;0.981786;2.50705;0.00107153;0.000859959
-29.0706;11.5565;0.0245729;0.00230867;0.985905;3.08951;0.000959289;0.000831581
-28.7518;11.5565;0.024742;0.00217477;0.985944;100;0.000863813;0.000852332
-28.4331;11.5565;0.0249292;0.00204444;0.986319;100;0.000865995;0.000917803
-28.1143;11.5565;0.0251433;0.00192449;0.984836;100;0.000923092;0.00103422
-27.7955;11.5565;0.0253906;0.00183247;0.983139;100;0.000953921;0.00120433
-27.4768;11.5565;0.0257687;0.00172762;0.982787;100;0.000976195;0.00133016
-27.158;11.5565;0.0261882;0.00172094;0.983444;100;0.00101447;0.00132364
-26.8393;11.5565;0.0266392;0.00181109;0.983283;2.17399;0.00103507;0.00121772
-26.5205;11.5565;0.0271677;0.00231261;0.983804;2.05308;0.000998638;0.0011447
