x;y;x-displacement;y-displacement;Correlation value;Peak ratio;Uncertainty Vx;Uncertainty Vy
-0.382245;8.05012;0.0265132;0.0058764;0.990716;100;0.000933415;0.0014397
0.574032;8.05012;0.0280612;0.00566186;0.985162;100;0.00115256;0.000962182
1.53031;8.05012;0.0274457;0.0060401;0.989383;100;0.0014001;0.00100563
-0.382245;7.09385;0.0274758;0.006175;0.974068;100;0.00113684;0.00111867
0.574032;7.09385;0.0285367;0.00562242;0.996194;100;0.001051;0.000577854
1.53031;7.09385;0.0285077;0.00623329;0.992589;100;0.000873491;0.000669915
-0.382245;6.13757;0.0289219;0.00501679;0.988795;2.55247;0.00133741;0.000824239
0.574032;6.13757;0.0280036;0.00507379;0.994672;100;0.00132733;0.00062489
1.53031;6.13757;0.0280021;0.0057754;0.977455;100;0.00107314;0.000765638
0.574032;-4.38149;0.0315597;0.0131098;0.993469;100;0.00139586;0.000948696
1.53031;-4.38149;0.0312587;0.011624;0.994276;100;0.00114786;0.000833767
-0.382245;-5.33776;0.0304607;0.0122266;0.974399;100;0.000734643;0.00107174
0.574032;-5.33776;0.0315871;0.0120072;0.982775;1.9116;0.000914455;0.00101696
1.53031;-5.33776;0.0324918;0.011343;0.972338;1.73979;0.000997156;0.00138242
-0.382245;-6.29404;0.0308025;0.0109844;0.977113;100;0.000928767;0.00171651
0.574032;-6.29404;0.032289;0.0105104;0.992145;100;0.00112304;0.00140551
1.53031;-6.29404;0.0306268;0.0127327;0.990331;100;0.00106108;0.000949326
