"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -4.832036338,      -2.534719012,      -2.822193815,        1.19145283
          0,           0,           1,      -4.860430744,      -2.559017575,      -2.895833148,       1.162737838
          0,           0,           2,      -4.897743235,      -2.588215193,      -2.978473048,       1.125171742
          0,           0,           3,      -4.959487812,      -2.630180231,      -3.010626164,       1.063181964
          0,           0,           4,      -5.063424953,       -2.70269908,      -3.011094373,      0.9587993115
          0,           0,           5,       -5.18970811,      -2.810929672,      -3.067024052,      0.8317109857
          0,           0,           6,      -5.285546012,      -2.898337939,      -3.175175862,      0.7351859009
          0,           0,           7,      -5.351857562,      -2.926514825,      -3.297126605,      0.6690830807
          0,           0,           8,      -5.393563644,      -2.928736024,      -3.405938884,      0.6280272617
          0,           0,           9,      -5.404471659,      -2.930102523,      -3.472011633,      0.6173328559
          0,           0,          10,      -5.409002266,      -2.943305757,      -3.506440677,      0.6127933731
          0,           0,          11,      -5.435424513,      -2.968442977,      -3.515516765,      0.5861682677
          0,           0,          12,      -5.460122163,      -2.983893245,      -3.526862559,      0.5613462203
          0,           0,          13,      -5.468080222,      -2.992880918,      -3.536985747,      0.5534530599
          0,           0,          14,      -5.478127393,      -3.012676687,       -3.54189251,      0.5433261926
          0,           0,          15,      -5.501365627,      -3.045796908,      -3.548736953,      0.5199234862
          0,           0,          16,      -5.535602344,      -3.086587521,      -3.561328346,      0.4854133343
          0,           0,          17,      -5.575142711,      -3.131195727,       -3.57853728,      0.4455516784
          0,           0,          18,      -5.614034849,      -3.174765767,      -3.597787679,      0.4063588803
          0,           0,          19,      -5.647342924,      -3.209544198,      -3.617179406,      0.3728386668
          0,           0,          20,      -5.670330594,      -3.227207267,      -3.635763568,      0.3498409857
          0,           0,          21,      -5.680285592,      -3.226556805,      -3.652448636,      0.3400339772
          0,           0,          22,      -5.679091753,       -3.21510704,      -3.665966186,      0.3415042699
          0,           0,          23,      -5.672198515,       -3.20176052,      -3.676394705,      0.3486886597
          0,           0,          24,       -5.66501483,      -3.192005718,      -3.684842573,      0.3559744646
          0,           0,          25,      -5.660791302,      -3.187696518,      -3.692701644,      0.3602307582
          0,           0,          26,      -5.660505594,        -3.1890575,      -3.701419815,      0.3604015167
          0,           0,          27,      -5.664209628,      -3.195907285,      -3.711498568,      0.3565578639
          0,           0,          28,      -5.672164681,      -3.208604251,      -3.722499989,      0.3484359932
          0,           0,          29,      -5.684792794,      -3.227268998,      -3.733973332,      0.3356565611
          0,           0,          30,      -5.701968804,      -3.250577337,      -3.745584117,      0.3183270747
          0,           0,          31,      -5.722849345,      -3.276141988,      -3.757185216,      0.2973463035
          0,           0,          32,      -5.745605629,      -3.300607013,      -3.768922261,      0.2744857601
          0,           0,          33,      -5.783894411,      -3.377529958,      -3.753956116,      0.2353237111
          0,           0,          34,      -5.824178816,      -3.357286353,       -3.80737601,      0.1948215813
          0,           0,          35,      -5.836203696,      -3.407965732,      -3.796289744,      0.1824029734
          0,           0,          36,      -5.851934016,       -3.36784495,      -3.824608949,      0.1670136046
          0,           0,          37,      -5.854635974,      -3.413191859,      -3.808484977,      0.1641183679
          0,           0,          38,      -5.867790191,      -3.375025521,      -3.835902214,       0.151233617
          0,           0,          39,      -5.870472754,      -3.421333647,      -3.822300415,      0.1483874709
          0,           0,          40,       -5.88250402,      -3.380758598,      -3.854404148,      0.1366469566
          0,           0,          41,      -5.854082752,      -3.350010619,      -3.864030506,      0.1660298244
          0,           0,          42,      -5.839033392,      -3.339742495,      -3.865649912,      0.1815389986
          0,           0,          43,      -5.842434916,      -3.354485598,       -3.87323396,      0.1782722915
          0,           0,          44,      -5.855104985,        -3.3764142,      -3.889936131,      0.1656175476
          0,           0,          45,      -5.869395086,      -3.397868294,      -3.909757698,      0.1513100848
